Date,Description,Amount
01/15/2026,Meta Ads — Advertising,-420.00
02/12/2026,Mason Reed Consulting — Contract Labor,-1200.00
03/18/2026,Figma — Software,-180.00
04/08/2026,Staples — Office Supplies,-260.00
05/05/2026,Hiscox — Insurance,-900.00
06/20/2026,Delta Air Lines — Airfare,-640.00
07/14/2026,Union Square Cafe — Business Meals,-220.00
08/10/2026,Verizon Business — Internet,-120.00
09/19/2026,Coursera — Training,-300.00
10/22/2026,LinkedIn Ads — Marketing,-380.00
11/11/2026,Clear Ledger CPA — Accounting,-750.00
12/03/2026,AWS — Cloud Services,-210.00
